"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha",0.333594121104634,0.00205206106416478,0.0916293251513835,0.167693581296628,0.271975676136857,0.32823703749051,0.391022135879168,0.532188932220572,1993.83132880226,1.00120113636363
"effort_baseline",6.41668839479816,0.00328215269210514,0.14605782115734,6.14472876427667,6.32146801757305,6.41213419279978,6.50841996101483,6.70212682936743,1980.30494783114,0.999956973261354
"beta",0.0659321677488559,0.000662547902290439,0.0252059671016738,0.0224417718639634,0.0485084932630196,0.064146728035527,0.0809303270455153,0.121067885538496,1447.34532813665,1.00231973693819
"effort_0",6.58780082039743,0.0018899329166951,0.0974007452786962,6.39493404227843,6.52170021245614,6.58866101410629,6.65259711572266,6.7793579735939,2656.02269521078,0.999714119170975
"delta",0.0697000350147024,0.000223417543934665,0.0128579518391582,0.0513107140089981,0.0598203880816663,0.067838671423429,0.0773474423372915,0.0992805364273644,3312.14272581763,1.00088649590299
"skill_change",7.46849844629112,0.049308530012606,2.29366221349913,3.67848606396782,5.81945687095125,7.20203435799521,8.86468890612041,12.6392625626514,2163.78850267809,1.00164364731371
"skill_min",6.27418746500213,0.0413560355929463,1.94917282264759,3.06148020170121,4.85598842856591,6.05477807921976,7.46048812866992,10.5978594982825,2221.38018657732,1.00095482591416
"kappa",3.76581084513594,0.0505474762050139,1.53072374233452,2.10277250246775,2.82236908941046,3.40338375251574,4.23095483205166,7.77697326986315,917.053523375176,1.00381723938651
"gamma",6.97788643342945,0.00505290567915963,0.208946918519118,6.60230928987527,6.83446012175105,6.96573770062883,7.11232133787798,7.4306742514716,1709.97420228216,1.00043809506049
"theta",0.617320283092424,0.00374488315568256,0.213662531200523,0.173926991745072,0.462792812932133,0.627375168447032,0.783823679233647,0.969803070022242,3255.21887089237,1.00132514325505
"lambda",0.29037268823814,0.00550123765305743,0.270370070643731,-0.247908292424166,0.122745397755927,0.284099474742552,0.463592264030213,0.831050882185101,2415.44089732338,1.00062046183891
"goal_0",4.83916484158703,0.00528293430663351,0.275770266309686,4.30552123622248,4.65542776808496,4.83574434400792,5.02128056053001,5.3948957960482,2724.86164910205,1.00110729754751
"sigma_effort_0",2.450984473111,0.00102375569077083,0.0702802361720273,2.32079719871981,2.40314479553178,2.44856973384161,2.49835914296683,2.59155864663334,4712.74310491124,0.999268156648036
"sigma_effort_change",1.68875367974707,0.000370938204722246,0.0239024413697936,1.64362849823493,1.67238054689698,1.68840359685501,1.70479642958034,1.73613689123334,4152.22990260879,1.00041971983659
"sigma_performance_change",0.927133344924952,0.000188038783621931,0.0118550605726403,0.904596564456008,0.919053579994676,0.926726362769421,0.935165339057874,0.950883114198789,3974.77626933796,0.999372190253052
"sigma_goal_0",2.13474980333306,0.00277451085637179,0.198589250240612,1.79408837911791,1.99391067412547,2.11643773780122,2.25757881926007,2.57546356827097,5123.16820927885,0.999735610956037
"sigma_goal_change",1.4713839027785,0.000668765801504379,0.0456716473334267,1.38631427735161,1.44078855730662,1.47038196024878,1.50116082403262,1.56197956059784,4663.85714877796,1.00123849129164
"skill_max",13.7426859112933,0.0889432768332005,4.10274406005454,6.87902874405996,10.8041642252512,13.3073393077545,16.2662881716572,22.8627584533977,2127.759800403,1.0014560206863
"lp__",-5120.25997888709,0.0784275089570317,3.08657209490221,-5127.19638816757,-5122.10738717974,-5119.90189744149,-5118.08747319249,-5115.25220645317,1548.87371247441,1.0019427970231
